customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
1,Laraine,Medendorp,F,93,12-10-1953,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11
2,Eli,Bockman,Male,81,16-12-1980,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16
3,Arlin,Dearle,Male,61,20-01-1954,Recruiting Manager,Property,Mass Customer,N,01-Feb,Yes,15
4,Talbot,,Male,33,03-10-1961,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7
5,Sheila-kathryn,Calton,Female,56,13-05-1977,Senior Editor,n/a,Affluent Customer,N,NIL,Yes,8
6,Curr,Duckhouse,Male,35,16-09-1966,,Retail,High Net Worth,N,?µ ? ? ?,Yes,13
7,Fina,Merali,Female,6,23-02-1976,,Financial Services,Affluent Customer,N,‰¡‰«‰µ‰‰‰,Yes,11
8,Rod,Inder,Male,31,30-03-1962,Media Manager I,n/a,Mass Customer,N,(‰øå¡‰Áå¡•?‰ø•üµ ‰È‰‰È),No,7
9,Mala,Lind,Female,97,10-03-1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8
10,Fiorenze,Birdall,Female,49,11-10-1988,Senior Quality Engineer,Financial Services,Mass Customer,N,?©??,Yes,20
11,Uriah,Bisatt,Male,99,30-04-1954,,Property,Mass Customer,N,‰å«å¨‰Êå´å¬èÌüì‰‰,No,9
12,Sawyere,Flattman,Male,58,21-07-1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8
13,Gabriele,Norcross,Male,38,15-02-1955,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8
14,Rayshell,Kitteman,Female,85,25-03-1983,Account Executive,Financial Services,Affluent Customer,N,‰¡‰«‰µ,No,6
15,Erroll,Radage,Male,91,13-07-2000,Junior Executive,Manufacturing,Mass Customer,N,?,No,1
16,Harlin,Parr,Male,38,27-02-1977,Media Manager IV,n/a,Mass Customer,N,1.00E+96,Yes,18
17,Heath,Faraday,Male,57,19-03-1962,Sales Associate,n/a,Affluent Customer,N,•?•?´‰À‹?‰?(•?Á‰‰À‰•?Á)‰±‰À•?´•?,Yes,15
18,Marjie,Neasham,Female,79,06-07-1967,Professor,n/a,Affluent Customer,N,ë©‰Ì¤‰‰Çèåµ‰?‰´Ìá,No,11
19,Sorcha,Keyson,Female,76,15-04-2001,Geological Engineer,Manufacturing,High Net Worth,N,‰å«‰¡èÌå¬èÌ‰‰‰,No,1
20,Basile,Firth,Male,72,13-08-1980,Project Manager,Manufacturing,Mass Customer,N,?©??,No,11
21,Mile,Cammocke,Male,74,20-09-1980,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16
22,Deeanne,Durtnell,Female,79,10-12-1962,,IT,Mass Customer,N,•?•?•?,No,11
23,Olav,Polak,Male,43,10-02-1995,,n/a,High Net Worth,N,01-Feb,Yes,1
24,Kim,Skpsey,Female,55,03-12-1977,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15
25,Geoff,Assaf,Male,72,02-12-1976,Accounting Assistant III,Financial Services,Mass Customer,N,?…ü?…¡?»…ü?test¯¤ô¯µô¯?¯¤¯» ¯¤ô¯»ô¯?ôô,Yes,21
26,Trixi,Ginnelly,Female,12,10-06-1978,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16
27,Garvin,Klees,Male,37,25-09-1978,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12
28,Fee,Zellmer,Male,5,30-09-1973,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21
29,Mona,Sancraft,Female,62,22-06-1968,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19
30,Darrick,Helleckas,Male,18,18-10-1961,,IT,Affluent Customer,N,“Â’??’“ “«’“¡µÂ“,Yes,6
31,Star,Praton,Female,3,24-11-1962,Staff Accountant III,Telecommunications,High Net Worth,N,test‰Êtest‰Ç,Yes,14
32,Marion,Vanichkin,Female,17,20-04-1995,Legal Assistant,Manufacturing,Affluent Customer,N,0•ü‰£ 1•ü‰£ 2•ü‰£ 3•ü‰£ 4•ü‰£ 5•ü‰£ 6•ü‰£ 7•ü‰£ 8•ü‰£ 9•ü‰£ ?,No,4
33,Ernst,Hacon,Male,44,25-06-1957,Product Engineer,n/a,Affluent Customer,N,<script>alert('hi')</script>,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20
35,Margaretha,Strettle,Female,40,28-09-1963,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16
36,Lurette,Stonnell,Female,33,09-11-1977,VP Quality Control,n/a,Affluent Customer,N,"<>?:""{}|_+",No,22
37,Laurie,Dwerryhouse,Female,46,22-12-1985,Social Worker,Health,High Net Worth,N,ë©‰Ì¤‰‰Çèåµ‰?‰´Ìá,No,16
38,Cordi,Merman,Female,37,29-10-1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20
39,Hunfredo,Smalley,Male,5,16-04-1979,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22
40,Tomasine,Jerche,Female,91,27-10-1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,í?HêíÂí?íí?eê êíí´ííÈêíwíhííøêoíêíêí±í¨ ñí¼íííêWíáí?í?aí¼í»êií¬êêí?êíøítí¦í?í¨sííêê íÊíÇíÊBíÈêêêêí?eíµhíµíÂêíÇêiíí?êí?í?í¨êíÇnêdí«í»íí êí¡êí©êêêí?Tê¢êí?êí»hêêí¨íÈeíÂíêí í?í?íWêêêííêêaêêêí?í?,No,14
41,Basilius,Coupe,Male,64,14-04-1976,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16
42,Chiquita,Durnall,Female,24,28-03-1977,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18
43,Indira,Belt,Female,38,01-03-1983,Director of Sales,Retail,Mass Customer,N,‰¡‰«‰µ,No,5
44,Neron,Verick,Male,63,18-10-1981,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17
45,Trace,Woodhead,Male,64,23-09-1975,Senior Financial Analyst,Financial Services,Mass Customer,N,Œ£?¾?¢»,No,8
46,Kaila,Allin,Female,98,26-02-1972,,n/a,Affluent Customer,N,‰¡‰«‰µ‰‰‰,Yes,15
47,Matthew,Jeaycock,Male,51,22-10-1992,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2
48,Rebbecca,Casone,Female,46,15-08-1975,Biostatistician II,n/a,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8
49,Nolly,Ownsworth,Male,63,26-01-1994,VP Quality Control,n/a,Affluent Customer,N,`‰‰Â‰?‰¼•Â•Â‰Áå¡åá‰‰å±,No,1
50,Whitby,Schapero,Male,38,01-10-1980,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16
51,Fidelio,Dilke,Male,68,05-12-1959,Computer Systems Analyst II,Retail,Mass Customer,N,‹‹?‹‹£‹?‹üÁ‹‹»‹‹,No,18
52,Curran,Bentson,Male,57,22-06-1988,,Financial Services,Mass Customer,N,01-Feb,Yes,13
53,Agnella,Gocke,Female,22,18-04-1954,Software Test Engineer II,Financial Services,Mass Customer,N,1.00E+00,No,16
54,Loralyn,Wonfor,Femal,2,24-07-1966,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18
55,Linc,Jillions,Male,48,24-09-1956,Paralegal,Financial Services,Affluent Customer,N,Zí¨íêíÊêêAí´ííêíÈíLí£êêíøí?íêGíÈOí?íí¨,Yes,7
56,Reese,Ensor,Male,44,04-07-1996,VP Sales,Property,Mass Customer,N,‹,Yes,4
57,Abba,Masedon,M,87,13-06-1988,Chief Design Engineer,n/a,Mass Customer,N,1.00E+02,Yes,13
58,Dalenna,Pinnock,Female,26,04-07-1967,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17
59,Niki,Heathcote,Male,60,08-02-2000,Physical Therapy Assistant,n/a,High Net Worth,N,-$1.00,No,3
60,Nadiya,Champerlen,Female,18,04-02-1970,,Manufacturing,Mass Customer,N,‡,No,10
61,Kacey,Rowbottom,Female,47,29-11-1959,Help Desk Operator,Property,High Net Worth,N,-1,No,13
62,Sorcha,Roggers,Female,38,06-07-1979,,IT,Mass Customer,N,(•?ˆ?´ˆ?´•?•?•ÈÀ ‰È‰‰È,Yes,22
63,Ebony,Zini,Female,58,03-07-1965,Senior Quality Engineer,Retail,Mass Customer,N,00è®$-,Yes,16
64,Gerek,Yve,Male,73,25-03-1978,Legal Assistant,IT,High Net Worth,N,•?•?•?,No,4
65,Yale,Tanser,Male,21,01-04-1976,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15
66,Anselm,Gawne,Male,46,11-03-2002,Account Executive,Argiculture,High Net Worth,N,•?•?¬(å«‰•?‰©,No,1
67,Vernon,,Male,67,14-06-1960,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18
68,Dahlia,Eddoes,Female,37,21-04-1974,Information Systems Manager,n/a,Affluent Customer,N,ë©‰Ì¤‰‰Çèåµ‰?‰´Ìá,No,9
69,Heidi,Milner,Female,16,22-06-1969,Web Developer II,n/a,Mass Customer,N,0/0,No,6
70,Foster,Vannoort,Male,78,27-02-1993,Paralegal,Financial Services,Affluent Customer,N,?,No,8
71,Hoyt,Glavias,Male,30,27-01-1985,Research Associate,Argiculture,Affluent Customer,N,•?•?¬(å«‰•?‰©,Yes,12
72,Sammy,Cheese,Male,93,13-02-1972,Administrative Officer,Manufacturing,Affluent Customer,N,$1.00,Yes,16
73,Minette,Worters,Female,16,27-05-1960,Teacher,n/a,Affluent Customer,N,‰‰‰,Yes,5
74,Pansy,Kiddie,Female,94,19-06-1969,,n/a,Mass Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,6
75,Dollie,Sealy,Female,28,15-07-1978,VP Product Management,Property,Mass Customer,N,",‹‹È:*:‹È‹‰( ‰È ì ‰È )‹‹È:*:‹È‹‰",No,19
76,Rea,Hasser,Female,20,23-01-1978,Statistician II,Retail,High Net Worth,N,‰¢,Yes,18
77,Shermie,Andrin,Male,79,12-09-1989,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7
78,Arch,Van der Kruis,Male,37,12-03-1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-1.00E+02,No,8
79,Tybi,Silliman,Female,76,02-10-1968,Account Executive,Manufacturing,Mass Customer,N,‹‹?‹‹£‹?‹üÁ‹‹»‹‹,No,18
80,Pablo,Small,Male,11,24-04-1978,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13
81,Bee,Blazewicz,Female,58,04-09-1986,,Health,High Net Worth,N,‰¢,No,13
